sample_accession	study_accession	run_accession	sample_alias	secondary_sample_accession	first_public	last_updated	instrument_model	library_layout	library_source	instrument_platform	library_name	library_strategy	fastq_aspera	fastq_bytes	fastq_md5	fastq_ftp	read_count	submitted_ftp
SAMEA5382984	PRJEB31618	ERR3210462	da19d106-5c0d-11e7-86e3-68b599768938	ERS3189357	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105013T	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210462/ERR3210462_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210462/ERR3210462_2.fastq.gz	12806755203;13578270290	634466a5dfe92c98b3608da2d7c9d32e;68ccb38f9db713bf0ecd9bca2ddd441f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210462/ERR3210462_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210462/ERR3210462_2.fastq.gz	778043550	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210462/24551_7.cram
SAMEA5382984	PRJEB31618	ERR3210463	da19d106-5c0d-11e7-86e3-68b599768938	ERS3189357	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105013T	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210463/ERR3210463_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210463/ERR3210463_2.fastq.gz	12802461179;13505944806	30c4b0172d02a39c426654575ee50d3c;7b882c19de59ba3d080b634902cc37eb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210463/ERR3210463_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210463/ERR3210463_2.fastq.gz	758412626	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210463/24551_8.cram
SAMEA5382980	PRJEB31618	ERR3210464	d9fd7b82-5c0d-11e7-86e3-68b599768938	ERS3189353	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105008W	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210464/ERR3210464_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210464/ERR3210464_2.fastq.gz	13118712831;14860234026	e055f788d51d434680eaa90705478870;9d2790746989f5552ab7aeaac2a1871c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210464/ERR3210464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210464/ERR3210464_2.fastq.gz	719329216	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210464/24646_1#1.cram
SAMEA5382979	PRJEB31618	ERR3210465	d9f8006c-5c0d-11e7-86e3-68b599768938	ERS3189352	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105007V	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210465/ERR3210465_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210465/ERR3210465_2.fastq.gz	13762798613;15937550449	e498d77f6c2840a4381682c47ac11f7d;9c570df4b748998c539226764b4920d0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210465/ERR3210465_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210465/ERR3210465_2.fastq.gz	734035598	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210465/24694_1#1.cram
SAMEA5382979	PRJEB31618	ERR3210466	d9f8006c-5c0d-11e7-86e3-68b599768938	ERS3189352	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105007V	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210466/ERR3210466_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210466/ERR3210466_2.fastq.gz	13842436167;15165956805	76fec8fc66238d8adefbc29c6738bdb6;9f6161e1c09388c88bfeb1fcc990352d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210466/ERR3210466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210466/ERR3210466_2.fastq.gz	741151184	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210466/24694_2#1.cram
SAMEA5382977	PRJEB31618	ERR3210467	d9ebcc5c-5c0d-11e7-86e3-68b599768938	ERS3189350	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105005T	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210467/ERR3210467_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210467/ERR3210467_2.fastq.gz	13484066468;15121137416	16226c8b30c185f2a1039a917c5f2f2c;10f033f22ba6083cbf9d7c70df1b255c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210467/ERR3210467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210467/ERR3210467_2.fastq.gz	694271024	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210467/24695_1#1.cram
SAMEA5382970	PRJEB31618	ERR3210468	4f712958-e3e1-11e7-9a7d-68b59976a384	ERS3189343	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254814C	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210468/ERR3210468_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210468/ERR3210468_2.fastq.gz	365478477;361021264	b4eff8b8178a9b8e6317fac5f397b446;5cfb2c02a333cf38fde434cbce4a2a04	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210468/ERR3210468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210468/ERR3210468_2.fastq.gz	16315836	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210468/24765_1#2.cram
SAMEA5382960	PRJEB31618	ERR3210469	4efd2c38-e3e1-11e7-9a7d-68b59976a384	ERS3189333	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254804A	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210469/ERR3210469_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210469/ERR3210469_2.fastq.gz	452872367;458254963	f6481da21f5f75b28b4e0abd6151ac34;33af5ae19b36b08d94d350de23bc18e3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210469/ERR3210469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210469/ERR3210469_2.fastq.gz	19643762	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210469/24765_1#4.cram
SAMEA5382962	PRJEB31618	ERR3210470	4f13e248-e3e1-11e7-9a7d-68b59976a384	ERS3189335	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254806C	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210470/ERR3210470_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210470/ERR3210470_2.fastq.gz	439105435;446205039	a48251016cf2f2e78393ca3f5f76ca2c;bb30b4485d76d65e0576243c97dd9824	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210470/ERR3210470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210470/ERR3210470_2.fastq.gz	19309744	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210470/24765_1#6.cram
SAMEA5382965	PRJEB31618	ERR3210471	4f372cee-e3e1-11e7-9a7d-68b59976a384	ERS3189338	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254809F	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210471/ERR3210471_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210471/ERR3210471_2.fastq.gz	430833410;440151494	93b888be1a733d20cb64df4baa8bdbcf;ed2e84af3449c195e4d0c709cda4f3b7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210471/ERR3210471_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210471/ERR3210471_2.fastq.gz	19036266	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210471/24765_1#9.cram
SAMEA5382966	PRJEB31618	ERR3210472	4f42f79a-e3e1-11e7-9a7d-68b59976a384	ERS3189339	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254810V	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210472/ERR3210472_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210472/ERR3210472_2.fastq.gz	461471881;466616839	4a977fe585e4f313923a0be76dcc9492;ae2fbf5f4c5658845773414c5de3f64a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210472/ERR3210472_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210472/ERR3210472_2.fastq.gz	19991136	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210472/24765_1#10.cram
SAMEA5382969	PRJEB31618	ERR3210473	4f657194-e3e1-11e7-9a7d-68b59976a384	ERS3189342	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254813B	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210473/ERR3210473_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210473/ERR3210473_2.fastq.gz	335033353;333237513	415f502e464618b075dce8d4d7544ffb;9f873e01499f3ee32645e724733265d7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210473/ERR3210473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210473/ERR3210473_2.fastq.gz	14705416	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210473/24765_1#13.cram
SAMEA5382970	PRJEB31618	ERR3210474	4f712958-e3e1-11e7-9a7d-68b59976a384	ERS3189343	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254814C	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210474/ERR3210474_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210474/ERR3210474_2.fastq.gz	350036892;348366850	07e22b348110b0be6fa5f79711c7bbc1;e5245ce3a1af632379d3862fbbd2f18a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210474/ERR3210474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210474/ERR3210474_2.fastq.gz	15875130	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210474/24765_2#2.cram
SAMEA5382960	PRJEB31618	ERR3210475	4efd2c38-e3e1-11e7-9a7d-68b59976a384	ERS3189333	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254804A	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210475/ERR3210475_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210475/ERR3210475_2.fastq.gz	431318104;439310129	6ee0126f4a0aaa0aafa41baed75f214b;7462ac0ee7963a02b277d85ed85e1537	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210475/ERR3210475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210475/ERR3210475_2.fastq.gz	18986162	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210475/24765_2#4.cram
SAMEA5382962	PRJEB31618	ERR3210476	4f13e248-e3e1-11e7-9a7d-68b59976a384	ERS3189335	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254806C	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210476/ERR3210476_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210476/ERR3210476_2.fastq.gz	418379495;427537390	590f8bfb413d16c3a3de368e51c95d3e;afc8962957fc40213cf68535df66172a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210476/ERR3210476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210476/ERR3210476_2.fastq.gz	18686270	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210476/24765_2#6.cram
SAMEA5382965	PRJEB31618	ERR3210477	4f372cee-e3e1-11e7-9a7d-68b59976a384	ERS3189338	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254809F	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210477/ERR3210477_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210477/ERR3210477_2.fastq.gz	409144576;420436049	82d99847b2de3a2af7364b3cc721fb8d;233e7e63f2f855577269a70b00c67d64	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210477/ERR3210477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210477/ERR3210477_2.fastq.gz	18354828	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210477/24765_2#9.cram
SAMEA5382966	PRJEB31618	ERR3210478	4f42f79a-e3e1-11e7-9a7d-68b59976a384	ERS3189339	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254810V	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210478/ERR3210478_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210478/ERR3210478_2.fastq.gz	438489101;446063407	b824a56eb4b7fa277e50159e5262c68e;017722ca89a3132a2429afd6900e2da1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210478/ERR3210478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210478/ERR3210478_2.fastq.gz	19225162	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210478/24765_2#10.cram
SAMEA5382969	PRJEB31618	ERR3210479	4f657194-e3e1-11e7-9a7d-68b59976a384	ERS3189342	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254813B	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210479/ERR3210479_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210479/ERR3210479_2.fastq.gz	321106319;321636211	92f7448d5ffb6d01faedfc45a2564c78;7293f09b72d7214065b5af14b7982906	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210479/ERR3210479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210479/ERR3210479_2.fastq.gz	14335474	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210479/24765_2#13.cram
SAMEA5382970	PRJEB31618	ERR3210480	4f712958-e3e1-11e7-9a7d-68b59976a384	ERS3189343	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254814C	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210480/ERR3210480_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210480/ERR3210480_2.fastq.gz	506463439;508304819	d0f28c70f1fbfb903efd19cdcd91ec02;5daa82cf0cf053bb102006f3240f17a3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210480/ERR3210480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210480/ERR3210480_2.fastq.gz	21161438	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210480/24799_1#2.cram
SAMEA5382960	PRJEB31618	ERR3210481	4efd2c38-e3e1-11e7-9a7d-68b59976a384	ERS3189333	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254804A	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210481/ERR3210481_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210481/ERR3210481_2.fastq.gz	620325498;631237533	e18a299b51617b8b7b19d68226a42f32;6020ea75997601f2c2cd4b96c4938706	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210481/ERR3210481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210481/ERR3210481_2.fastq.gz	25234462	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210481/24799_1#4.cram
SAMEA5382962	PRJEB31618	ERR3210482	4f13e248-e3e1-11e7-9a7d-68b59976a384	ERS3189335	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254806C	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210482/ERR3210482_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210482/ERR3210482_2.fastq.gz	597226247;612314503	ee631a7d56e75f1b403f258cd4b19941;8efca3cfcb2a9c667d65a8ab11653a77	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210482/ERR3210482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210482/ERR3210482_2.fastq.gz	24567582	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210482/24799_1#6.cram
SAMEA5382965	PRJEB31618	ERR3210483	4f372cee-e3e1-11e7-9a7d-68b59976a384	ERS3189338	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254809F	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210483/ERR3210483_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210483/ERR3210483_2.fastq.gz	587156332;604729298	0e629ce290cea56a83faf0930f3acae3;b33fa7e1623724219c2878136bc47ada	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210483/ERR3210483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210483/ERR3210483_2.fastq.gz	24323440	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210483/24799_1#9.cram
SAMEA5382966	PRJEB31618	ERR3210484	4f42f79a-e3e1-11e7-9a7d-68b59976a384	ERS3189339	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254810V	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210484/ERR3210484_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210484/ERR3210484_2.fastq.gz	635401009;645185230	6e46f548c8956841324ee82fb347cbae;923b7385ed43e958d33d9042c8deb798	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210484/ERR3210484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210484/ERR3210484_2.fastq.gz	25947954	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210484/24799_1#10.cram
SAMEA5382969	PRJEB31618	ERR3210485	4f657194-e3e1-11e7-9a7d-68b59976a384	ERS3189342	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254813B	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210485/ERR3210485_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210485/ERR3210485_2.fastq.gz	462393545;465859878	38a68a17811fc386f19ae6e751094bca;58f8bc16a204bb3f34243d86a262dd2d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210485/ERR3210485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210485/ERR3210485_2.fastq.gz	18944760	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210485/24799_1#13.cram
SAMEA5382970	PRJEB31618	ERR3210486	4f712958-e3e1-11e7-9a7d-68b59976a384	ERS3189343	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254814C	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210486/ERR3210486_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210486/ERR3210486_2.fastq.gz	522348930;521971959	4da6f764adc9bcaa3fc9454b1bbf884e;b488d089d8e854408445d739eba7edef	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210486/ERR3210486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210486/ERR3210486_2.fastq.gz	21586492	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210486/24799_2#2.cram
SAMEA5382960	PRJEB31618	ERR3210487	4efd2c38-e3e1-11e7-9a7d-68b59976a384	ERS3189333	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254804A	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210487/ERR3210487_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210487/ERR3210487_2.fastq.gz	643010365;653778657	1065557796f4a98bd52941cd3bc908d9;f010d863f4be64629816fe60f0d8857f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210487/ERR3210487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210487/ERR3210487_2.fastq.gz	25877554	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210487/24799_2#4.cram
SAMEA5382962	PRJEB31618	ERR3210488	4f13e248-e3e1-11e7-9a7d-68b59976a384	ERS3189335	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254806C	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210488/ERR3210488_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210488/ERR3210488_2.fastq.gz	618788730;635501648	282252672ea4cfcbd550ace6b2b7d1e5;ca37097354feff5b2ab7e84b651a74d0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210488/ERR3210488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210488/ERR3210488_2.fastq.gz	25160220	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210488/24799_2#6.cram
SAMEA5382965	PRJEB31618	ERR3210489	4f372cee-e3e1-11e7-9a7d-68b59976a384	ERS3189338	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254809F	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210489/ERR3210489_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210489/ERR3210489_2.fastq.gz	610034066;628261981	60cfcc82c7a8aed6298bf2854e47f6b6;a7ed872f0a237225eaa9d5f57cb4aeaa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210489/ERR3210489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210489/ERR3210489_2.fastq.gz	25007622	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210489/24799_2#9.cram
SAMEA5382966	PRJEB31618	ERR3210490	4f42f79a-e3e1-11e7-9a7d-68b59976a384	ERS3189339	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254810V	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210490/ERR3210490_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210490/ERR3210490_2.fastq.gz	660862395;670386667	e80fe6f58fd2a6f9f87d8027a15f9d44;597d7a7caf97a30ba0455cd2216320e8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210490/ERR3210490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210490/ERR3210490_2.fastq.gz	26758610	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210490/24799_2#10.cram
SAMEA5382969	PRJEB31618	ERR3210491	4f657194-e3e1-11e7-9a7d-68b59976a384	ERS3189342	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254813B	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210491/ERR3210491_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210491/ERR3210491_2.fastq.gz	475716925;478046252	09131c5f897dea43825797cebbd3de12;d79019421e1bfc01e63aa981f46e3460	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210491/ERR3210491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210491/ERR3210491_2.fastq.gz	19266982	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210491/24799_2#13.cram
SAMEA5382970	PRJEB31618	ERR3210492	4f712958-e3e1-11e7-9a7d-68b59976a384	ERS3189343	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1254814C	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210492/ERR3210492_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210492/ERR3210492_2.fastq.gz	501508432;501116244	6d99f9baa2ae117f9b2fbcbc55fab892;2b86d92bcfe66a8e2a6fa9eace563d44	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210492/ERR3210492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210492/ERR3210492_2.fastq.gz	20981820	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210492/24800_1#2.cram
